hospital,content
┤╣╡╪д·┬х╢Eй╥,┴┬┴┬┤╣╡╪д·┬х┼¤з┌дгжbо`й╚м▌д·╛жбA▓°и|й■┬хоvл▄╖┼мX▓╙д▀бA┼¤з┌жbкv└°к║╣L╡{ддд@┬Iд]иSж│о`й╚к║╖P─▒нЄбI┴┬┴┬бZ
┤╣╡╪д·┬х╢Eй╥,╛·╕gоч╢щелдG╢бд·┬х╢Eй╥ бA╣яйєз┌к║д·╛жеuж│╢Vи╙╢V┤d╞[ бA┴┘жnиMйwи╙┤╣╡╪м▌╢E бA┴Ў╡M╕Ї│~╗╗╗╖бAдг╣LмOн╚▒oк║ бAпuк║л▄╖P┴┬╜▓кYн╫┬хоvк║е╬д▀м▌╢E бA╣яйєпfдHк║ог─▀╖Pпр╢Kд▀к║жw╝╛ бA▒M╖~к║л╪─│ бA┼¤з┌▓╫йє─▒▒oз┌к║д·╛жж│▒╧дFбIнье╗л▄╡LзUк║╖P─▒о°евдгиг бAд]дго`й╚м▌д·╛ждF бIпuк║мOд@жь┬х╝wд╬з▐│N╢Wп┼┤╬к║┬хе═ бI
┤╣╡╪д·┬х╢Eй╥,д·┬х▒M╖~ кA░╚║Aл╫жnбI
┤╣╡╪д·┬х╢Eй╥,дфл∙бAе[кoбAз┌н╠▒└┬╦к║бC
┤╣╡╪д·┬х╢Eй╥,л▄┤╬к║кA░╚бA│]│╞л▄з╣╡╜
┤╣╡╪д·┬х╢Eй╥,"д╡д╤еhм▌д·,┼@дh┬хе═│гл▄nice,┬хе═м▌xе·┤N╕Єз┌╗бй·дFз┌к║▒бкp,й·й·ж││Eд·╖|╡hк║д·╛ж,дзлeм▌к║д·┬х╗биSи╞,┼¤з┌е╒е╒╡hд@н╙ды,╖P┴┬┤╣╡╪д·┬х└░з┌зфиьдF░▌├D,▒╡дUи╙┤N║C║C╕╔д·┼oбI"
┤╣╡╪д·┬х╢Eй╥,мYйm─мк║┬хе═лD▒`иSж│жP▓zд▀бA╖Qи№оЁжAеhзфеLм▌╢E
┤╣╡╪д·┬х╢Eй╥,лD▒`о`й╚м▌д·┬хк║з┌бA▓╫йєзфиьд@оa║Aл╫┐╦д┴дS▒M╖~к║╢Eй╥дFбA▒qнш╢iи╙кv└°│Eд·иь▓{жbбA┬хе═к║▒M╖~╡{л╫еHд╬лси╙┼@дhл▄ж│н@д▀к║жb└░з┌░╡╢ь╜ж░▓д·бAй▐дUи╙дS╕╦дWеhи╙ж^дгк╛╣D┤Xж^дF м░дF╕╔дW▒╞│╠лсн▒к║п╩д·бA─▒▒o┼@дhжnипнWбAж¤мOлD▒`╖P┴┬еLн╠к║н@д▀йMе╬д▀бA┼¤з┌прд@ж╕ж╕к║зJкAм▌д·┬хк║ог─▀бC #┤╣╡╪д·┬х
┤╣╡╪д·┬х╢Eй╥,╖P┴┬┤╣╡╪д·┬х╣╬╢д╣яйє▒wк╠д╧└│кмкpдзнл╡°бAйє░▌├Dд╧└│╖эдщлK┐n╖е│B▓zбA┼¤▒wк╠пр─~─Єжwд▀жb┤╣╡╪д·┬х┤N╢EбA╣ъм░▒M╖~д╬┐╦д┴дзд·┬х╢Eй╥бC
┤╣╡╪д·┬х╢Eй╥,жpкG╗бмOм▌д·бAи╙│o╕╠мO│╠жnк║┐я╛▄бC
┤╣╡╪д·┬х╢Eй╥,╜▓┬хоvл▄▒M╖~бAе╬д·╛жд@┬I│гдг╡hбAдp╫^зU▓z╢Wп┼╖┼мX│сбIл▄▒└┬╦к║д·┬х╢Eй╥!
┤╣╡╪д·┬х╢Eй╥,┴┬┴┬┬хоvк║е╬д▀~╛у┼щм▌╢Eл▄╡╬╛AбC
┤╣╡╪д·┬х╢Eй╥,└Ї╣╥л▄░кп┼ ┬хе═┼@дhдH│гл▄┐╦д┴
┤╣╡╪д·┬х╢Eй╥,мOн╙жnжaдшбA└Ї╣╥╡╬╛A║}лGбC┬хе═│гл▄▒M╖~бI│╠нлнnмOкA░╚║Aл╫л▄жnбC
┤╣╡╪д·┬х╢Eй╥,"┬хоv┼@дhдH│г╢Wжnк║
┼@дh╖|└░жгз┌┼Uдpл─┬хоvд]╢Kд▀к║└░з┌еh╗т├─
й▐д·е┤│┬├─о╔┬хоv│г╖|д@к╜╕▀░▌┴┘жn╢▄бA┴┘еiеH╢▄бA┼¤зAз╤дFм▌д·к║ог─▀"
┤╣╡╪д·┬х╢Eй╥,д╡дщ┤╙д·лсдwйбддд╚бA╜▓┬хоvд╬╣╬╢дл▄е╬д▀к║╢RдFжBд√ед╗P│n─╤е]бCжnжnо@
┤╣╡╪д·┬х╢Eй╥,┼@дhл▄┐╦д┴бA┬хоvл▄▒M╖~
┤╣╡╪д·┬х╢Eй╥,зї┬хоvз▐│Nл▄жnдS▒M╖~╣я╕▄л▄л╒└qн╖╜ьбAзU▓zдpйjд]л▄┐╦д┴мOз┌м▌╣L│╠жnк║д·┬х╢Eй╥^_^ дUж╕ж│к┼ж│╛ў╖|╖|жAеhбA┴┬┴┬зA┬хоvд╬зU▓zн╠!
┤╣╡╪д·┬х╢Eй╥,"┬хе═┼@дhдH│г╢Wжnк║
┼¤з┌╣ям▌д·╛жк║дгжnжL╢Hз╣е■иSж│(=^_^=)"
┤╣╡╪д·┬х╢Eй╥,╢└┬хоvл▄▒M╖~__оRоRйnйnдHл▄ж│┐╦йMдOл▄еi╖R
┤╣╡╪д·┬х╢Eй╥,╢└мп╛з┬хоvл▄┐╦д┴!┴┬┴┬^^
┤╣╡╪д·┬х╢Eй╥,┬хоv┼@дh│гл▄┐╦д┴▒M╖~
┤╣╡╪д·┬х╢Eй╥,м▌д·┬х│╠жnк║┐я╛▄!
┤╣╡╪д·┬х╢Eй╥,┬хе═з▐│Nл▄жn( ^_^ )y
┤╣╡╪д·┬х╢Eй╥,╕╦цC░кп┼ ┼@дh┐╦д┴^^
┤╣╡╪д·┬х╢Eй╥,Good support
и╚╜oд·┬х╢Eй╥,"╢└┬хоvл▄ж│╖RбAд]л▄╝Fо`бI┼¤з┌╣ям~д·│oеєи╞ж│дF╖sк║╞[й└д]ж│лiоЁжAж╕н▒╣ям~д·│oеєи╞бAзU▓zд╬╣ъ▓▀┬хе═д]л▄▒M╖~бA▒╨з┌е┐╜Tиъд·йMи╧е╬д·╜uбAньи╙з┌д@к╜│г╢├иъд·...
л▄╖P┴┬йpн╠бI"
и╚╜oд·┬х╢Eй╥,зf┬хоvпuк║╝Fо`еhм▌┤╝╛ж│E▒╝бAе▀░ий▐▒╝бAпuк║~дг╡h~дг╡h~дг╡h
и╚╜oд·┬х╢Eй╥,зf┬хоvдHжnдS▓╙д▀ бI
и╚╜oд·┬х╢Eй╥,зf┬хе═лD▒`╢Kд▀бIз▐│NдS░к╢WбIй▐д·дг╡hдг╡h_
и╚╜oд·┬х╢Eй╥,╢W┼щ╢KпfдHк║╢WдЇ╖╟└°╡{_╖Pож╖Pож
и╚╜oд·┬х╢Eй╥,"з╣м№к║й▐д·
зf┬хе═л▄╝Fо`"
A21д·┬х╢Eй╥,│п┬хоvк║╕╘▓╙╕╤╗бйM╢Kд▀кv└°пuмOлeй╥е╝игбAд╙╞gдFбI
A21д·┬х╢Eй╥,м▌╣Lл▄жhоaд·┬хбA│╠│▀┼wA21бAпSзOмO┐╦д┴дш┬хе═йM▓╙д▀к║┬хе═зU▓zбCи╙╣LA21бAдг╖|╖QжA┤лд·┬хбA┤NиMйwжb│o├фд@к╜м▌дUеhбC▓─д@ж╕─▒▒oм▌д·╛жмOлD▒`┤rз╓дSеOз┌┤┴л▌к║д@еєи╞бC
A21д·┬х╢Eй╥,"з┌дkкBд═еh╡╣╢└з╙╜ў┬хе═╕╔д·бA╕╔дFд@┴√д~дQд└─┴бAифеL│Eд·┤Nжbо╟├фж╙дwд]дгд@░_│B▓zбA┴┘нnдHжA╢]д@╜ыбA╕╔▒oд]л▄└HлKбAнn┴╚░╖лO╢Oд]дгмO│o╝╦зaбH
ж╙еBжoеDнnмOеh╕▀░▌├Ўйє┤╝╛жк║км║AбA┬хе═м▌дFм▌д]иS╗биьй│нnлч╗Є│B▓zбAдw╕g╖|╡hдFеu╗бжA╞[╣юд@дUбA╡Mлсм~д·д]л▄└HлKбA╛ун╙┤NмOл▄╝┼нlдFи╞бAнnмOеiеHз┌│sд@┴√мP│гдг╖Q╡╣бC
ж¤мO┬dеx╕Єд·зUк║л~╜ш┴┘║тдг┐∙!"
A21д·┬х╢Eй╥,ж¤дг│▀┼wмQд╤к║┬dеxбC║Aл╫оtбCбC11ды9дщбCбC8┬I╕Iиьк║┬dеxбCбCбCбC┴yпuк║пфиьеiеHбC
A21д·┬х╢Eй╥,░|к°дHл▄жn л▄е╬д▀к║└░з┌кv└° ┤юд╓з┌к║пk╡h
A21д·┬х╢Eй╥,A21 д·┬х╢Eй╥╛╠и}д▀╗б╜T╣ъмOд@н╙дг┐∙к║╢Eй╥бAеh╣Lм▌╢Eк║пf▒w└│╕╙│гж│е╪ж@╕@бA╡бй·дL▓b└Ї╣╥└uм№│]│╞╖s┐oкA░╚┐╦д┴бAе[дW┤Nжb▒╢╣BA21 п╕о╟├ф░▒иод]лD▒`дшлKбA░|к°╢└е▀й╛жbжaкA░╚20 ╛lж~з▐│N░к╢Wк╛├╤┬╫┤Iдпд▀дп│N╡°пfжp┐╦бAй╥▓v╗тк║┬хоv╕sжUн╙ж~╗┤ж│м░▒M╖~кA░╚йM─зеi┐╦┬хпf├ЎлYи}жnбAжpж╣│n╡w┼щ│]мI╖s┐o┬хоv▒M╖~к╛├╤д@мyк║д·┬х╢Eй╥бA╜T╣ъмOжbжaене┴ж╩йm│╠и╬к║┐я╛▄бAз┌дзй╥еH╡√╗∙е|┴√мPмO┤┴м▀прпdдUжA╢iд@иBк║к┼╢ббAжPо╔д]з╞▒ц╢Eй╥пр░ўжм╢OжAене┴д╞и╟бAеH▓┼жXжbжaп╤п╨кA░╚и╜е┴дзжо╜ьбI
A21д·┬х╢Eй╥,"▓─д@ж╕ жндWеhм▌ ┬хе═ ╜╨еL└░з┌╕╔д·
з┌жb├h║├│oжь┬хе═ мOдгмOи╙╛╟▓▀к║
┤N╕╔д·╛жжbз┌о╟├фд@к╜╕H╕Hй└ л▄▓`░┌ ж│к║иSж│
ж^еh д]┴┘мOд@╝╦иSд░╗Єзя╡╜ ┴┘мO╖|╡h ─ъ├z"
A21д·┬х╢Eй╥,м░д░╗Єм▌д·╛ждзлeдге¤зiк╛пf▒wй╥╗▌╢Oе╬ ╛ў╛╣░╩з╣д~зiк╛▒wк╠╗▌нnкс╢O5000й╬36000 ╖Q┐·╖Q║╞дFмO╢▄бH ╕╔д·╛ждгжn┴╚о@бIбI
A21д·┬х╢Eй╥,│]│╞жnбA┬хоv║Aл╫┐╦д┴
A21д·┬х╢Eй╥,"░w╣я┬┬д·лa_╕ий╬├P░╩бB▒wк╠й╣й╣з╞▒цд·┬хоvк╜▒╡▒Nдзкg┬HдWеhбA│oмOл▄к╜╞[ж╙м▌ж№жX▓zк║╖QкkбCж¤мOеHд·┬хоvк║идл╫ж╙иебA┤N┼U╝{▒oжhд@и╟бGн║е¤бA╖|лфж╥еж├P░╩й╬_╕ик║ньж]м░жєбHж]м░├P░╩бA│q▒`мO┬H╡█╛п▒Y▓цбAй╬мOд·╛жоMлa░╧д╙╡uбAй╬мO╝фд·дге■ж│дGл╫│Eд·╡е╡еньж]бAеHнPд·оM╗Pд·╛же╗инд└┬ўж╙├P▓цбCифж╕бAд·┬хоv╖|з╞▒цд·лa╗Pд·╛жд└╢}лсбAк╜▒╡└╦╡°д·╛жбAж]м░╢╟▓╬д·лaд·╛Ї╖|к¤╛╫Xе·д∙к║┼у╣│╡LкkзP┬_д·╛же╗инмOз_ж││Eд·й╬мO╡▓║cдгжnбCж]ж╣д·лaд·╛Їд┤жbд·╛ждWбA┴Ў╡M├P░╩дFбAж¤мOд┤╡M╡Lкkж╩д└ж╩╜Tйwпрз_жAл╫и╧е╬бAж╙е▓╢╖и·дU└╦╡°бCжAи╙бAжpкGд·лaд·╛Їи·дUдзлсбAд·╛же╗иннYмO╗Pлa╛Їж│и╟┴_╗╪бAж╣о╔бAж│и╟д·┬хоv╖|ж╥╝{нYкg▒╡дWеhиф┴_╗╪дщлсоeйЎ░я┐nд·╡▀┤│ж╙│yжи│Eд·бAж╙л╪─│░╡║ы▒K░▓д·бAеHлOе■д·о┌д╬д·╛же╗инбAз╞▒цпрк°кvд[жwбFж¤мOнYиSж│еRд└о╔╢б_й·бBй╬мOиSж│_й·▓M╖ббA▒wк╠дгдF╕╤ж╣д·┬хоvк║┼U╝{бAж█╡M╗~╖|┤N╖|▓ге═бC╡зк╠┴{з╔дWд]▒`▒`н▒┴{ежоa╗sз@├P▓цк║д·лa╛ЇбAежн╠й╣й╣мOнл╖s┬HдWд]еiеHбAж¤мO░╡╖sк║║ы▒Kд·лaд·╛ЇмO│╠жnлOе■дз╡жк║▒бз╬бAж╣о╔▓{╣ъ╗P▓z╖Q┤N╖|ж│╜─мЁдз│BбA┬х▒wдз╢бе▓╢╖░╡еRд└к║╖╛│qбC╡зк╠н║д@┐я╛▄мO╜╨▒wк╠ж^ж▄нье¤м░еL╗sз@к║д·┬хоv│BбGж]м░ньд·┬хоvж│пf╛·бAдF╕╤ж╣д·дзи╙└sеhп▀бAеiеH┤ги╤│╠жnк║│B╕mбAж¤мO▒wк╠й╣й╣ж]дuз@й╬жa┬I╡е╡еж╙╡Lкkж^еhнь╗sз@│BбCифж╕бAд~мOи·дUд·лa╛Ї└╦╡°бAпрз_╢╢зQжAе╬┬┬д·лaд·╛ЇбA╢iжцдWнzк║кv└°мy╡{бC
│╠лсз╞▒цеHдWж^╡кпр░ў┼¤н▒┴{ж╣░▌├D┴A╕╤н╙ддкмкpбAд▀▒б┤rз╓бC
жbж╣бA╢╢╣|
й╥ж│╛\┼кж╣╡uдхк║дHенжw░╖▒dз╓╝╓бI"
A21д·┬х╢Eй╥,╢└е▀й╛╖qдW
A21д·┬х╢Eй╥,╣q╕▄╕▀░▌╗бдE┬IеHлe▒╛╕╣┤NеiеHдK┬Iе|дQднд└иь╗бд╙▒▀дгеiеHдг└┤нnз┌╢]и╙мOд░╗Є╖NлфзAн╠жY╣бд╙╢вбH
A21д·┬х╢Eй╥,м▌╢E▓╙д▀бAи├еD░╩╡╣дй╜├▒╨▒╨╛╟бCбA
A21д·┬х╢Eй╥,еHлeд·╡hеhзOоa╢Eй╥│гнn╣wм∙д@╡е┤Nнnеbн╙дыекеkбCA21┤NдгжPи╙иьмE╕╣еuнn╡y╡еи╟│\о╔╢б┤N└░зAм▌╢EбI
A21д·┬х╢Eй╥,л▄дг┐∙бA╛H┬хе═л▄▓╙д▀бA│]│╞л▄╖sбBл▄╜├е═бC
з╗║Ўд·┬х╢Eй╥,"┴┬┴┬┬хе═...┼¤з┌│oн╙ее░№░▒дюд·╡hбI
жЄд▀ж│┬х╝wк║┬хе═бAд╙н╚▒oкэ┤ндFбZ"
з╗║Ўд·┬х╢Eй╥,┬dеxдkк║║Aл╫┼¤з┌дг╖|╖Qеh▓─дGж╕
з╗║Ўд·┬х╢Eй╥,"┤╬┤╬к║┬хе═╕Є┼@дhдpйj__
лe╕mз@╖~└╦мd╖╛│q └°╡{дд╡╣дйлHд▀
нье╗о`й╚иьдгжц еXи╙лс│гп║╝H╝H ж]м░пuк║дг╖|╡h╦ч__"
з╗║Ўд·┬х╢Eй╥,┬хе═й▐┤╝╛жз▐│Nл▄жnбIбZ ┬хе═┼@дh│глD▒`┐╦д┴бI
з╗║Ўд·┬х╢Eй╥,┬хе═┼@дhдpйj│гл▄╗┤д┴еJ▓╙к║└╦мdпf▒wд·╛жд@┬I│гдг░икъж╙еB▓╙д▀╕╤─└╡╣пf▒w┼е...▒└бZбZбZ
з╗║Ўд·┬х╢Eй╥,┬хе═дHл▄┐╦д┴дS▒M╖~бI
з╗║Ўд·┬х╢Eй╥,┬хе═├zжnк║░╒бI┬злЇд╤м░дFд·╛жзфиь│o╢ббAй·й·5┬Iнn├Ўк∙дFбA┬хе═╗биS├ЎлYзA▓{жbи╙бAд@╖d│гз╓7┬IдFбAж╙еBжbиSд·зUк║▒бкpдUбAд]дг╖|ж]м░ж█дvд@н╙дHжг╕Lж╙║Aл╫дгжnбAд╧ж╙д@к╜л▄┐╦д┴бC
з╗║Ўд·┬х╢Eй╥,"┬хе═кMкM╢W┐╦д┴к║░╒_
┼@дhк№л╝д]л▄ж│н@д▀!"
з╗║Ўд·┬х╢Eй╥,"╖P─▒л▄йё├PбCбCбC
ya~"
з╗║Ўд·┬х╢Eй╥,"┬хе═л▄nice
┬злЇд╤е┤╣q╕▄╣LеhеЁ╢E
┴┘мO─@╖N└░зAм▌
ж╙еBл▄ж│н@д▀зфеX░▌├D"
з╗║Ўд·┬х╢Eй╥,│oмOд@╢б┐╦д┴бBкA░╚║Aл╫жnдS▒M╖~к║╢Eй╥бA┬хе═┬х│NжnдHд]┐╦д┴бAзU▓zдpйjзємOж│н@д▀бA▒Nд▀дёд▀к║жn╢Eй╥  
з╗║Ўд·┬х╢Eй╥,▒a╓Ўжїм▌│Eд·_нЇнЇпuлi┤▒бIжn┤╬┤╬░┌бI│o╢б┴┘дг┐∙бC
з╗║Ўд·┬х╢Eй╥,┬хоvбB┼@дh╢W┐╦д┴е╬д▀║w_
з╗║Ўд·┬х╢Eй╥,┬хе═дH╢W┤╬к║! ╡hдF╛у▒▀к║д·╛ж жндWе┤╣q╕▄╡╣┬хе═лЇ░U└░з┌м▌д@дU ░идW╡к└│ лD▒`╖P┴┬┬хе═
з╗║Ўд·┬х╢Eй╥,▒M╖~бB┐╦д┴бB├Ўд▀ к║д·мь╢Eй╥
з╗║Ўд·┬х╢Eй╥,┬хе═л▄еJ▓╙бA┼@дhд]л▄┐╦д┴
з╗║Ўд·┬х╢Eй╥,дг┐∙ кA░╚╢Wжn ┬хе═з▐│Nл▄┤╬ (Y)
з╗║Ўд·┬х╢Eй╥,┬хе═л▄┐╦д┴бAж│н@д▀(^o^)
з╗║Ўд·┬х╢Eй╥,┬хе═┼@дh│гл▄жn│с!
з╗║Ўд·┬х╢Eй╥,╞g
║√лф╡nд·┬х╢Eй╥,╖P┴┬▒i░╞░|к°бA┼¤з┌┼щ┼чиь╣ъ╗┌╡L╡h┤╙д·бAпuк║л▄┤╬!╢╦дfбAд]л▄дp!пuк║ль┤_з┌е┐▒`ль┤_з┌ек├флrкFжшк║╛ўпрдF!
║√лф╡nд·┬х╢Eй╥,╢Eй╥│]│╞е¤╢iбA└Ї╣╥└uбA┬хоvлD▒`▓╙д▀еBж│н@д▀бAзU▓zл▌дH┐╦д┴бAж│л▄┤╬к║м▌д·╕g┼чбAн╚▒o▒└┬╦бC
║√лф╡nд·┬х╢Eй╥,╣яйєо╔╢бдг░ўе╬к║дHбA╣Jиьд·пf░▌├D╞Z▒└┬╦иь║√лф╡nм▌д·к║бC
║√лф╡nд·┬х╢Eй╥,╢Eй╥░о▓b╡╬╛AбA▒i░╞┬хе═дH╞Z▓╙д▀к║бC
║√лф╡nд·┬х╢Eй╥,▒M╖~бA┬хе═┼@дhдH│гл▄nice
║√лф╡nд·┬х╢Eй╥,л▄╗{пuк║╢╟╗╝┬х└°к╛├╤бA╖P─▒е╬д▀
║√лф╡nд·┬х╢Eй╥,"┬хоv▒M╖~.зU▓zкA░╚┐╦д┴.└Ї╣╥└u.│╠нлнnк║мO....м▌д·╛ж.иSж│╖Q╣│дд'еiй╚"""
║√лф╡nд·┬х╢Eй╥,▒└┬╦бI
║√лф╡nд·┬х╢Eй╥,о┌е╗зQе╬╕╦цCи╙зlд▐┼Uл╚бAкA░╚л~╜шд@┴√мPбAзU▓zд]дгмOл▄╝Ї╜mбAдгк╛╣Dж│иSж│жb▒╨и|░V╜mбA┬хоvд]дгмOл▄ж│н@д▀бAеHж█╢Oм░е╪к║бC
║√лф╡nд·┬х╢Eй╥,лD▒`о`й╚м▌д·┬хк║ир╡гбAдгл╪─│жbж╣м▌д·бCбCбC
║√лф╡nд·┬х╢Eй╥,"дзлeжbеxе_░╡к║░▓д·ж│░▌├D,╖P┴┬╛Fй~д╢▓╨и╙иь║√лф╡nбA┴┬┬хоv│г└░з┌│B▓zжnдF~ ▒└!"
║√лф╡nд·┬х╢Eй╥,м∙╢E11.30бB┼@дhжw▒╞е¤йч─се■дfйч─сбA╛ў╛╣мG╗┘йчдFитж╕бA┴┘мOиSйчжи┬хоv11.45д~└╦мdбAдд╢бмя┤битн╙пf▒wбAм▌дгиьитд└─┴жw▒╞йч│Eд·Xе·д∙бAлси╙дS╗бдзлe╕╔д·к║зўо╞мO╗╚п╗бA╗▌│B▓z╢OдTдdбAж│╖P─▒╖эк╬ж╧к║╖P─▒бIйчдзлe┤Nдw╕gж│╡°╢EбA┤NиSе¤зiк╛нnжhжм│B▓z╢Oе╬бA╕Єе╗оЎ╢OдHк║о╔╢ббAнnеhлeдTлфбAд]к╜▒╡╜╨╢Eй╥к╜▒╡░hм▌╢E╢Oд╬▒╛╕╣╢OдFбI╕╔еR:лси╙еhзOоaд·┬х╢Eй╥м▌│Eд·к║┬Iд]дгмO║√лф╡nй╥╗бк║│Eд·┬I(ж│╗╚п╗к║жaдш)╣ъжbмO┤█┐f┤cжH
║√лф╡nд·┬х╢Eй╥,л─дl│s─Єитж╕│гжb│o╢юмtбAеi╖Rк║ир╡гд·мьй╨╢ббA┴┘ж│╝╜йёейкъ┼¤л─дlйёдUог─▀бA┬хе═к║н@д▀бB▓╙д▀бAзємO┼¤╢¤л}жwд▀бIе[дW└Ї╣╥пuк║л▄░о▓bбIлD▒`│▀┼wбAдjдO▒└┬╦бI
║√лф╡nд·┬х╢Eй╥,жb░к┼Kп╕о╟ил╕Ї┤NиьбA║}лG╡╬╛Aк║└Ї╣╥л~╜шбAеBж│л▄▒M╖~к║┬хоvбAбAдj▒└_
║√лф╡nд·┬х╢Eй╥,└Ї╣╥└u╢обA░▒иодшлKбAюждh┐╦д┴бAнл┬IмO┬ўз┌оaл▄кёбAдг┐∙бC
║√лф╡nд·┬х╢Eй╥,"║√лф╡nд·┬х╢Eй╥о┌║▐кv└°лD▒`╞g
▒M─▌к║3Dе■▓б│]нpддд▀"
║√лф╡nд·┬х╢Eй╥,д╙┤╬дFбI кA░╚лD▒`жn_ к┼╢бдS╡╬кA ┴┘ж│зK╢O░▒ио│їбCдг╣│жbм▌┬хе═фM_ жn╡╬кAк║к┼╢б
║√лф╡nд·┬х╢Eй╥,┴┘дг┐∙к║жaдш_м▌д·┬хж^┼¤дHж│жbоaк║╖P─▒бI
║√лф╡nд·┬х╢Eй╥,кA░╚л▄▓╙д▀_▓─д@ж╕м~д·дг╖|╡hбIбI
║√лф╡nд·┬х╢Eй╥,пшк┼л░▓─д@оaд·┬х╢Eй╥
║√лф╡nд·┬х╢Eй╥,┤┴л▌бI
║√лф╡nд·┬х╢Eй╥,(^__)_б╕
╖Lм№д·┬х╢Eй╥,"│пл╔ер┬хоv╕ЄзU▓zн╠│гл▄ж│н@д▀бA
е╗дHй▐д·л▄й╚╡h│г╖|└Hо╔├Ўд▀бA
┬d┬iдHн√д]│гл▄┐╦д┴ж│┬з╗кбA
┴┬┴┬зAн╠к║кA░╚бZ"
╖Lм№д·┬х╢Eй╥,▓╫йєж│о╔╢би╙м▌╢EдFбI╖Lм№к║╣╬╢д│гл▄┐╦д┴дS▓╙д▀бAдj▒└бI
╖Lм№д·┬х╢Eй╥,│]│╞╖sбA┬хе═┐╦д┴╕╤╗ббA║бд└бI
╖Lм№д·┬х╢Eй╥,╖P┴┬з║┬хоv▓╙д▀к║╕╤╗ббA└░з┌│B▓zдF│Eд·йMм~д·бAи├╕╘▓╙╕╤╗бд·╛жк║░▌├DбC
╖Lм№д·┬х╢Eй╥,"дjдO▒└┬╦ бZ╝Bоa╗y┬хоv ▓╙д▀╕╤╗б
жbкv└°╖эдUд]╖|┤г┐Ї▓╙╕` пuк║л▄жwд▀
┼@дhд]л▄╖┼мX ┼¤з┌║Є▒i╖Pн░зC
ж]м░нnи╙дзлeд]зфдF╡L╝╞оaд·┬хк║╡√╗∙
│╠лс┐я╛▄╖Lм№д·┬х мO╣як║
д·╛ж╡hдFз╓дTн╙┬злЇ▓╫йє╕╤▓цдF бZбZ"
╖Lм№д·┬х╢Eй╥,кA░╚дHн√л▄л╚оЁбA┬хе═╞[мdеJ▓╙
╖Lм№д·┬х╢Eй╥,▓{жbк║┬хе═п└╜ш╢Vи╙╢VоtдFбAз┌мOж╤┼Uл╚д╡ж~еhи╥жцм~д·й~╡M╣wм∙иьд@жье■ин░sи¤┴┘дгмя┬хоvкAк║иkд·┬хоvм~дгиь2д└─┴┤N╡▓зЇ╡▓кGм▌иьеLжb╢Q╗лл╟нw╡█║╬─▒бAж│░ў┬ў├╨бI ┬хе═жWжr зdx╜х
╖Lм№д·┬х╢Eй╥,"╡╣зdи|╜х┬хоvй▐┤╝╛ж
дгд╙╡h▓─дGд╤д]дг╕~
ж╙еBеbдpо╔д║╕╤иMлD▒`и││t
┼@дhбBзU▓z│гл▄┐╦д┴
└Ї╣╥д]л▄░о▓bй·лG"
╖Lм№д·┬х╢Eй╥,┼@дh║Aл╫жnбA╣∙нї╖ь┬хоvл▄ж│н@д▀бAдH╢WжnбAй▐┤╝╛жз╣е■дг╡h
╖Lм№д·┬х╢Eй╥,зї┬хоvпuмOн╙▓╙╜oж│н@д▀┬х└°╣L╡{пuмOлD▒`жnбIжnйп╣B╕Iиьзї┬хе═бA▒╧дFз┌жbеL│B┤▐д·ев▒╤к║д·╛жбAд╙┤╬дFбI┴┬┴┬зAзї┬хоv
╖Lм№д·┬х╢Eй╥,░╡еЇжєиB╞J│г╖|зiк╛ │sк`оg│┬├─лe┴┘╖|е¤жbе╓╜зкэн▒╢юй┘│┬├─еHн░зCе┤░wо╔к║пk╡h╖P
╖Lм№д·┬х╢Eй╥,┴┬┴┬▒M╖~дS┐╦д┴к║╝яп\╖ь┬хоvбIдг╢╚м▌╢E╣L╡{▓╙д▀бA░гдF░w╣язx┬Zдwд[к║д·йP░▌├D╢iжцз┤╡╜к║│B╕mбA┴┘╡╣дйдf╡─┼@▓zдW╢Kд▀л╪─│бC│oд@йwнn╡╣н╙╞g!!
╖Lм№д·┬х╢Eй╥,з┌д]мOй╚┬╜бA╡▓кG╡hиь├zм╡бA╡▓кG╣Jиь╢Wп┼╞gдS╢Wп┼╖|жw╝╛пf▒wк║╡L╝─┬хе═бC│s│┬╛K│г└░з┌░╡╡L╡h│┬╛KбCипнW▓╙д▀кv└°лсбA│sдгпр│°░╖лOк║жhж~░▓д·бA│гзK╢O░eз┌╡L╝─м№е╒╗P╛укvбAжKоЁ╕g╜oбAдuжn▓╙бAд@┬I│гдг░╙╖~бAз┌пuмOд╙йп║╓дFз┌бC╖Pож░┌бI
╖Lм№д·┬х╢Eй╥,"_кA░╚дHн√┼@дhкA░╚┐╦д┴бI
бзби зdи|╜х┬хоvбзбилD▒`▓╙д▀▒M╖~бI
пuб┤к║б┤дгб┤╖|б┤╡hб┤ лD▒`▒└┬╦"
╖Lм№д·┬х╢Eй╥,"╜▒┬хе═╢Wп┼┐╦д┴бAж│н@д▀~
зU▓zйM┬dеxдpйj│гл▄╝Ўд▀бA╖|жw╝╛м▌д·к║║Є▒iд▀▒ббAн╚▒o▒└┬╦о@^_^"
╖Lм№д·┬х╢Eй╥,кA░╚жnбA┬хе═жnniceбA╞gбI
